DATE	NUMARTS	COUNTS	THEMES	LOCATIONS	PERSONS	ORGANIZATIONS	TONE	CAMEOEVENTIDS	SOURCES	SOURCEURLS
20160308	1		SECURITY_SERVICES;TAX_FNCACT;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;TAX_FNCACT_MAN;WOUND;CRISISLEX_CRISISLEXREC;CRISISLEX_C03_WELLBEING_HEALTH;CRISISLEX_T02_INJURED;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_WEAPONS;TAX_WEAPONS_FIREARM;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1324_EMERGENCY_MEDICAL_SERVICES;TAX_FNCACT_SPOKESPERSON;DISASTER_FIRE;CRISISLEX_T01_CAUTION_ADVICE;MANMADE_DISASTER_IMPLIED;	4#Seacliff, New Zealand (General), New Zealand#NZ#NZ00#-45.6833#170.617#-1517914;5#Otago, Otago, New Zealand#NZ#NZF7#-45.25#169.5#11483306		fire service	0,1.12359550561798,1.12359550561798,2.24719101123596,25.8426966292135,0	518878853	radionz.co.nz	http://www.radionz.co.nz/news/regional/298375/emergency-call-out-near-dunedin
20160308	1			3#Denver, Colorado, United States#US#USCO#39.7392#-104.985#201738	tom brady;peyton manning;eli manning	national football league	2.42290748898678,2.86343612334802,0.440528634361234,3.30396475770925,20.0440528634361,0.66079295154185		huewire.com	http://www.huewire.com/miscellaneous/there-will-be-no-other-peyton-manning/115131/
20160308	1		ECON_STOCKMARKET;WB_698_TRADE;TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_ECON_PRICE;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_EXECUTIVE_OFFICER;TAX_FNCACT_CHIEF_EXECUTIVE_OFFICER;	3#Washington, District Of Columbia, United States#US#USDC#38.8951#-77.0364#531871	satya nadella	microsoft corp;microsoft	3.02013422818792,3.02013422818792,0,3.02013422818792,22.8187919463087,0	518858783	fxpips.com	http://www.fxpips.com/tech-microsoft-corp-msft-settles-0-99-pct-to-51-83-retreating-at-the-close/
20160308	1		WB_137_WATER;LEADER;TAX_FNCACT;TAX_FNCACT_LAWMAKERS;USPEC_POLITICS_GENERAL1;EPU_POLICY;EPU_POLICY_LAWMAKERS;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_FNCACT_LEGISLATOR;TAX_FNCACT_LAWMAKER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KANSAS;TAX_POLITICAL_PARTY_DEMOCRAT;VETO;MEDIA_MSM;TAX_FNCACT_REPORTER;CONSTITUTIONAL;TAX_FNCACT_LEGISLATORS;TAX_FNCACT_LOBBYIST;BAN;RESIGNATION;TAX_FNCACT_BABY;EPU_POLICY_REFORM;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;LEGISLATION;EPU_POLICY_LAW;TAX_FNCACT_SENATOR;TAX_FNCACT_LEADERS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;WB_2089_ETHICS_AND_CODES_OF_CONDUCT;EPU_POLICY_POLITICAL;TRIAL;TAX_FNCACT_LAWYERS;TAX_FNCACT_STAFFERS;USPEC_POLICY1;EPU_POLICY_LEGISLATION;TAX_FNCACT_EMPLOYEES;TRANSPARENCY;SCANDAL;EDUCATION;TAX_FNCACT_TEACHER;WB_678_DIGITAL_GOVERNMENT;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_EDUCATORS;TAX_FNCACT_WOMEN;CRISISLEX_T11_UPDATESSYMPATHY;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;TAX_FNCACT_STUDENTS;WB_470_EDUCATION;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOLS;RAPE;UNGP_CRIME_VIOLENCE;SOC_GENERALCRIME;TAX_FNCACT_CHILD;TAX_FNCACT_DIRECTOR;TAX_FNCACT_EDUCATOR;WB_481_SECONDARY_EDUCATION;WB_478_LEVELS_OF_EDUCATION;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_2433_CONFLICT_AND_VIOLENCE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2456_DRUGS_AND_NARCOTICS;WB_837_OPEN_GOVERNMENT_AND_TRANSPARENCY;WB_2031_RIGHT_TO_INFORMATION;TAX_FNCACT_CHILDREN;AFFECT;ECON_TAXATION;EPU_POLICY_TAX;EPU_CATS_TAXES;CRIME_ILLEGAL_DRUGS;TAX_FNCACT_CRIMINAL;TAX_FNCACT_DEALER;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY_AUTHORITIES;SECURITY_SERVICES;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_328_FINANCIAL_INTEGRITY;WB_2082_LAW_ENFORCEMENT;SEIZE;TAX_ETHNICITY_AMERICAN;SLFID_CIVIL_LIBERTIES;USPEC_UNCERTAINTY1;EPU_CATS_MIGRATION_FEAR_FEAR;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;WB_1121_TAXATION;WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES;WB_445_FISCAL_POLICY;TAX_FNCACT_PHYSICIANS;TAX_FNCACT_PHARMACISTS;CRISISLEX_C03_WELLBEING_HEALTH;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_DOCTOR;ARMEDCONFLICT;HUMAN_RIGHTS_ABUSES;HUMAN_RIGHTS_ABUSES_TORTURED;TORTURE;WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS;WB_2203_HUMAN_RIGHTS;WB_2512_TORTURE;WB_1406_DISEASES;WB_1437_SOCIAL_DETERMINANTS_FOR_HEALTH;WB_1438_ALCOHOL_AND_SUBSTANCE_ABUSE;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;UNGP_HEALTHCARE;WB_2026_PREVENTION;TAX_ECON_PRICE;EPU_CATS_HEALTHCARE;TAX_FNCACT_ATTORNEY;WB_1973_FINANCIAL_RISK_REDUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_337_INSURANCE;WB_1967_AGRICULTURAL_RISK_AND_SECURITY;WB_625_HEALTH_ECONOMICS_AND_FINANCE;WB_1287_HEALTH_INSURANCE;TAX_WORLDFISH;TAX_WORLDFISH_HERRING;TAX_FNCACT_CITIZENS;	1#United States#US#US#38#-97#US;3#-Sikeston, Missouri, United States#US#USMO#36.8767#-89.5879#726435;2#Nebraska, United States#US#USNE#41.1289#-98.2883#NE;2#Missouri, United States#US#USMO#38.4623#-92.302#MO;2#Iowa, United States#US#USIA#42.0046#-93.214#IA;3#Franklin County, Missouri, United States#US#USMO#38.4334#-91.0668#758490;2#Kansas, United States#US#USKS#38.5111#-96.8005#KS;3#Kansas City, Kansas, United States#US#USKS#39.1142#-94.6275#478635;3#Jefferson City, Missouri, United States#US#USMO#38.5767#-92.1735#758233;3#Springfield, Missouri, United States#US#USMO#37.2153#-93.2982#735864	jeffrey turnbough;jason holsman;dave schatz;claudette riley;holly rehder;hailey owens	centers for disease;missouri department of elementary;american civil liberties union;associated press;missouri senate;health insurance portability;united states	-3.02099334357399,2.96979006656426,5.99078341013825,8.96057347670251,23.8607270865335,0.972862263184844	519068382,519068383,518949605,518910992,519069177,519069774,518931350,519069833,519070068	hastingstribune.com	http://www.hastingstribune.com/news/state/recent-missouri-editorials/article_990de68a-f042-5076-9ca9-21037997cf24.html
20160308	1		CRISISLEX_T11_UPDATESSYMPATHY;WB_2931_IRON;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;TAX_FNCACT;TAX_FNCACT_LADY;TAX_FNCACT_WRITER;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;MOVEMENT_SOCIAL;MOVEMENT_OTHER;TAX_FNCACT_SPEAKER;CRISISLEX_C03_WELLBEING_HEALTH;CRISISLEX_T02_INJURED;WB_1979_NATURAL_RESOURCE_MANAGEMENT;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1986_MOUNTAINS;WB_1428_INJURY;WB_1406_DISEASES;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;CRISISLEX_CRISISLEXREC;TAX_FNCACT_PAINTER;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMANS;TAX_FNCACT_WOMEN;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_ETHNICITY;TAX_ETHNICITY_BALOCH;DISABILITY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ENV_OIL;TAX_FNCACT_AMBASSADOR;MEDIA_MSM;TAX_FNCACT_HERO;WB_1160_SHOCKS_AND_VULNERABILITY;WB_695_POVERTY;	1#Pakistan#PK#PK#30#70#PK	muniba mazari	writer for national television pakistan;oil pastels;chughtai lab pakistan	0.810372771474878,5.9967585089141,5.18638573743922,11.1831442463533,21.5559157212318,0.810372771474878		pakistankakhudahafiz.com	http://www.pakistankakhudahafiz.com/blogs/22334/
20160308	2		TAX_FNCACT;TAX_FNCACT_MANAGER;KILL;WB_137_WATER;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;EPU_ECONOMY_HISTORIC;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SOC_INNOVATION;USPEC_POLITICS_GENERAL1;USPEC_UNCERTAINTY1;MEDIA_MSM;	1#Australia#AS#AS#-27#133#AS;4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-1603135		global it company exciting;it company;company do;research insights	5.5944055944056,6.29370629370629,0.699300699300699,6.99300699300699,21.4452214452214,1.3986013986014	519141220,519141220	idg.com.au;goodgearguide.com.au	http://www.pcworld.idg.com.au/jobs/view/14135/research-insights-manager-marketing-global-it-company/<UDIV>http://www.goodgearguide.com.au/jobs/view/14135/research-insights-manager-marketing-global-it-company/
20160308	1	AFFECT#100##1#Congo#CF#CF#-1#15#CF;REFUGEES#100##1#Congo#CF#CF#-1#15#CF;EPU_CATS_MIGRATION_FEAR_MIGRATION#100##1#Congo#CF#CF#-1#15#CF;REFUGEES#100##1#Congo#CF#CF#-1#15#CF;	AFFECT;REFUGEES;EPU_CATS_MIGRATION_FEAR_MIGRATION;IMMIGRATION;WB_2670_JOBS;WB_2769_JOBS_STRATEGIES;WB_2837_IMMIGRATION;WB_2836_MIGRATION_POLICIES_AND_JOBS;TAX_RELIGION;TAX_RELIGION_CHURCH;TAX_RELIGION_CONGREGATIONAL;TAX_ECON_PRICE;TAX_FNCACT;TAX_FNCACT_CHILDREN;	1#Congo#CF#CF#-1#15#CF		refugee immigration ministry;simple church;congregational church	2.17391304347826,4.34782608695652,2.17391304347826,6.52173913043478,25,0	519092304,519093590	communityadvocate.com	http://www.communityadvocate.com/2016/03/08/folk-concert-to-benefit-refugee-ministry/
20160308	1		WB_698_TRADE;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;CRISISLEX_CRISISLEXREC;ECON_STOCKMARKET;TAX_ECON_PRICE;USPEC_POLITICS_GENERAL1;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;NATURAL_DISASTER;NATURAL_DISASTER_ICE;TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_BEAR;TAX_WORLDMAMMALS_BEARS;TAX_FNCACT_PRACTITIONER;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_DRIVER;WB_729_PERFORMANCE_MANAGEMENT;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_723_PUBLIC_ADMINISTRATION;WB_725_ORGANIZATIONAL_MANAGEMENT;EPU_ECONOMY_HISTORIC;TAX_FNCACT_CONSULTANT;TAX_FNCACT_INSTRUCTOR;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_DIRECTOR;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;TAX_FNCACT_BROKER;TAX_FNCACT_EDITOR;	3#Chicago Board Of Trade, Illinois, United States#US#USIL#41.8778#-87.6323#1826553;3#Chicago, Illinois, United States#US#USIL#41.85#-87.6501#423587	mark melin mark melin;jpmorgan marko kolanovic;michael santoli	national futures association;peregrine financial group;northwestern university chicago;chicago board of trade	0.436681222707424,2.32896652110626,1.89228529839884,4.22125181950509,27.0742358078603,0.291120815138282		valuewalk.com	http://www.valuewalk.com/2016/03/bull-market-anniversary-sp500/
20160308	1		TAX_ECON_PRICE;TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;TAX_ETHNICITY_BLACK;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLARS;	1#Canada#CA#CA#60#-95#CA		virgin mobile;samsung;telus	1.23239436619718,1.23239436619718,0,1.23239436619718,19.8943661971831,1.58450704225352		androidheadlines.com	http://www.androidheadlines.com/2016/03/samsung-galaxy-s7-s7-edge-canada-carrier-pricing.html
20160308	1	KILL#2#Americans#1#United States#US#US#38#-97#US;KILL#2##1#United States#US#US#38#-97#US;CRISISLEX_T03_DEAD#2##1#United States#US#US#38#-97#US;CRISISLEX_T03_DEAD#2##1#United States#US#US#38#-97#US;KILL#2##2#New York, United States#US#USNY#42.1497#-74.9384#ny;CRISISLEX_T03_DEAD#2##2#New York, United States#US#USNY#42.1497#-74.9384#ny;CRISISLEX_T03_DEAD#2##2#New York, United States#US#USNY#42.1497#-74.9384#ny;KILL#2019##2#Tennessee, United States#US#USTN#35.7449#-86.7489#tn;KILL#2#American#1#United States#US#US#38#-97#US;	TAX_ETHNICITY;TAX_ETHNICITY_CANADIAN;TAX_FNCACT;TAX_FNCACT_MINISTER;LEADER;TAX_FNCACT_PRIME_MINISTER;WB_698_TRADE;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;EPU_CATS_REGULATION;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;CRISISLEX_CRISISLEXREC;BAN;BORDER;TAX_ETHNICITY_AMERICANS;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_2433_CONFLICT_AND_VIOLENCE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2456_DRUGS_AND_NARCOTICS;KILL;CRISISLEX_T03_DEAD;EPU_POLICY_CONGRESSIONAL;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;WB_1406_DISEASES;WB_1437_SOCIAL_DETERMINANTS_FOR_HEALTH;WB_1438_ALCOHOL_AND_SUBSTANCE_ABUSE;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;TAX_FNCACT_CITIZENS;LEGISLATION;EPU_POLICY_LAW;SECURITY_SERVICES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_328_FINANCIAL_INTEGRITY;WB_1014_CRIMINAL_JUSTICE;WB_2082_LAW_ENFORCEMENT;TAX_FNCACT_OFFICIALS;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;EPU_POLICY_REGULATORY;GENERAL_HEALTH;MEDICAL;EPU_CATS_HEALTHCARE;TAX_ETHNICITY_AMERICAN;WB_1358_GENERIC_DRUGS;WB_635_PUBLIC_HEALTH;TAX_FNCACT_REGULATORS;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_FNCACT_SENATORS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_ALABAMA;TAX_POLITICAL_PARTY_LIBERAL_PARTY;SCIENCE;SURVEILLANCE;TAX_ECON_PRICE;CRIME_ILLEGAL_DRUGS;CRISISLEX_C06_WATER_SANITATION;	1#United States#US#US#38#-97#US;2#New York, United States#US#USNY#42.1497#-74.9384#NY;2#Oklahoma, United States#US#USOK#35.5376#-96.9247#OK;1#Canada#CA#CA#60#-95#CA;2#Alabama, United States#US#USAL#32.799#-86.8073#AL;2#Tennessee, United States#US#USTN#35.7449#-86.7489#TN;2#New Hampshire, United States#US#USNH#43.4108#-71.5653#NH;3#Washington, District Of Columbia, United States#US#USDC#38.8951#-77.0364#531871	tom coburn;justin trudeau;barack obama	u s federal drug administration;health canada;united states	-5.16605166051661,2.8290282902829,7.99507995079951,10.8241082410824,20.0492004920049,1.4760147601476	518950611,519038722,518899862,518951812,519040131,518899864	redstate.com	http://www.redstate.com/california_yankee/2016/03/08/canada-americas-apathetic-opioid-enabler/
