DATE	NUMARTS	COUNTTYPE	NUMBER	OBJECTTYPE	GEO_TYPE	GEO_FULLNAME	GEO_COUNTRYCODE	GEO_ADM1CODE	GEO_LAT	GEO_LONG	GEO_FEATUREID	CAMEOEVENTIDS	SOURCES	SOURCEURLS
20160308	1	SOC_GENERALCRIME	53	shoulder	2	Florida, United States	US	USFL	27.8333	-81.717	fl		cbslocal.com	http://detroit.cbslocal.com/2016/03/07/police-driver-who-refused-to-pull-over-wanted-to-finish-his-marijuana-joint-first/
20160308	1	AFFECT	7	pp worried	1	Germany	GM	GM	51	9	GM	519115218,519050528,519116842,519056953	thecorner.eu	http://thecorner.eu/news-europe/merkel-s-popularity-could-rebound-as-eu-turkey-reach-agreement/52316/
20160308	1	REFUGEES	567		4	Ljubljana, Slovenia (General), Slovenia	SI	SI00	46.0553	14.5144	-87271		cei.int	http://www.cei.int/node/1767/26400
20160308	1	AFFECT	2013	queue x	1	Macedonia	MK	MK	41.8333	22	MK	518900824,519130349,519004788,519034914,519130409,519130410,518995893,519130521,518959036,518971077,519130867,519131256,519131370,519131536,518857995	france24.com	http://www.france24.com/en/20160308-angela-merkel-migrants-refugees-europe-turkey
20160308	1	KILL	582		4	Toronto, Ontario, Canada	CA	CA08	43.6667	-79.4167	-574890	519176129,519176130,519177117,519177129,519177184,519177185,519177186,519177187	myrepublica.com	http://myrepublica.com/opinion/story/38372/race-against-time.html
20160308	2	EPU_CATS_MIGRATION_FEAR_MIGRATION	20000000		1	Albania	AL	AL	41	20	AL	518901481,518901482,518901483,518901737,518901738,518901739,518901740,518902496,518902719,518902720,518902728,518902731,518903155,518903247,518857843,518903281,518903282,518903283,518903284,518903285,518903286,518901481,518901482,518901483,518901737,518901738,518901739,518901740,518902496,518902719,518902720,518902728,518902731,518903155,518903247,518857843,518903281,518903282,518903283,518903284,518903285,518903286	iranian.com;iranian.com	http://iranian.com/posts/can-albania-meet-its-obligations-and-de-radicalize-an-influx-of--66768/jumpto/idcomment-107567<UDIV>http://iranian.com/posts/can-albania-meet-its-obligations-and-de-radicalize-an-influx-of--66768/jumpto/idcomment-107602
20160308	1	AFFECT	15		5	Gauteng, South Africa	SF	SF06	-26.0833	28.25	204226	518932877,518932879,518932907,518933349,518933350	bdlive.co.za	http://www.bdlive.co.za/opinion/2016/03/08/proposed-scrap-metal-export-clampdown-will-hit-workers
20160308	1	CRISISLEX_T02_INJURED	30		4	Baidoa, Bay, Somalia	SO	SO04	3.11383	43.6498	-3216356	518847672,518848800,518848801	news24.com.ng	http://www.news24.com.ng/World/News/more-than-150-shebab-fighters-killed-in-us-strike-in-somalia-20160308-2
20160308	1	REFUGEES	200000		4	Dublin, Dublin, Ireland	EI	EI07	53.3331	-6.24889	-1502554	518979038,518979219,518980369	sputniknews.com	http://sputniknews.com/europe/20160308/1035945523/switzerland-asylum-application-refugees.html
20160308	1	KILL	2	similar	1	Chile	CI	CI	-30	-71	CI	518940454	american-reporter.com	http://www.american-reporter.com/5,382/633.html
20160308	1	AFFECT	2000000		2	Michigan, United States	US	USMI	43.3504	-84.5603	mi		listverse.com	http://listverse.com/2016/03/08/10-chilling-unsolved-mysteries-from-michigan/
20160308	1	CRISISLEX_T03_DEAD	2019		4	Mortlake, New South Wales, Australia	AS	AS02	-33.85	151.117	-1589002	518896761,519062133,518896597,519062860	weeklytimesnow.com.au	http://www.weeklytimesnow.com.au/country-living/photographer-ruby-canning-is-firmly-focused-on-farming-life/news-story/fe0c8b72ac12b6cddf58285153700feb?nk=31dd36bc40cf84c265d3a4d5eb16bd21-1457449494
20160308	1	KILL	2		4	Maiwand, Kandahar, Afghanistan	AF	AF23	31.5819	64.9931	10537224	519011093,519011094,519011099,518948710,519012335,519012336	BBC Monitoring	Afghan Islamic Press news agency, Peshawar/BBC Monitoring/(c) BBC
20160308	1	KILL	16	environmental activists	1	Honduras	HO	HO	15	-86.5	HO	519134084,519134089,519134218,519134219,519135133,519135136,519135146,519135203,519135388	wri.org	http://www.wri.org/blog/2016/03/death-honduran-activist-berta-caceres-underscores-need-environmental-democracy
20160308	1	CRISISLEX_T03_DEAD	2		3	Scarsdale, New York, United States	US	USNY	41.0051	-73.7846	977410	519122895,519123215,519124483,519124517,519124575	dailymail.co.uk	http://www.dailymail.co.uk/news/article-3482659/Financial-guru-pleads-NOT-GUILTY-stabbing-pediatrician-wife-22-times-ambush-attack-inside-luxury-home.html
20160308	1	CRISISLEX_T02_INJURED	4	time	1	Sweden	SW	SW	62	15	SW		travelpod.com	http://www.travelpod.com/travel-blog-entries/albinantonresa/1/1457533964/tpod.html
20160308	1	SEIZE	2000		2	Washington, United States	US	USWA	47.3917	-121.571	wa	518942210,518942212,518873551,518943752,518849868	american-reporter.com	http://www.american-reporter.com/5,382/447.html
